suite,benchmark,dtype,threads,shape,backend,median_ms,iqr_ms,status
large,grad_sum_svd_s_backward,f64,1,64x64,tenferro-trace,0.431500,0.025584,ok
large,grad_sum_solve_backward,f64,1,"64x64,rhs=1",tenferro-trace,0.065750,0.001417,ok
batched,batched_matmul_ikb_kjb_ijb,f64,1,2x2xbatch16 (native batch layout),tenferro-trace,0.000833,0.000042,ok
batched,batched_svd,f64,1,2x2xbatch16 (native batch layout),tenferro-trace,0.010833,0.000209,ok
batched,batched_qr,f64,1,2x2xbatch16 (native batch layout),tenferro-trace,0.006458,0.000001,ok
batched,batched_eigh,f64,1,2x2xbatch16 (native batch layout),tenferro-trace,0.006958,0.000041,ok
batched,batched_solve,f64,1,"2x2xbatch16 (native batch layout),rhs=1",tenferro-trace,0.005333,0.000083,ok
batched,grad_sum_batched_matmul_backward,f64,1,2x2xbatch16 (native batch layout),tenferro-trace,0.004292,0.000166,ok
batched,grad_sum_batched_solve_backward,f64,1,"2x2xbatch16 (native batch layout),rhs=1",tenferro-trace,0.032542,0.000333,ok
batched,batched_matmul_ikb_kjb_ijb,f64,1,4x4xbatch16 (native batch layout),tenferro-trace,0.001000,0.000042,ok
batched,batched_svd,f64,1,4x4xbatch16 (native batch layout),tenferro-trace,0.027417,0.000292,ok
batched,batched_qr,f64,1,4x4xbatch16 (native batch layout),tenferro-trace,0.008792,0.000042,ok
batched,batched_eigh,f64,1,4x4xbatch16 (native batch layout),tenferro-trace,0.016875,0.000251,ok
batched,batched_solve,f64,1,"4x4xbatch16 (native batch layout),rhs=1",tenferro-trace,0.006583,0.000125,ok
batched,grad_sum_batched_matmul_backward,f64,1,4x4xbatch16 (native batch layout),tenferro-trace,0.004792,0.001458,ok
batched,grad_sum_batched_solve_backward,f64,1,"4x4xbatch16 (native batch layout),rhs=1",tenferro-trace,0.041250,0.005375,ok
batched,batched_matmul_ikb_kjb_ijb,f64,1,2x2xbatch64 (native batch layout),tenferro-trace,0.001417,0.000166,ok
batched,batched_svd,f64,1,2x2xbatch64 (native batch layout),tenferro-trace,0.040750,0.001250,ok
